Board,Refs,Qty,Value,Footprint
tiav3_s14160,C1 C4,2,2.2u,C_1206_3216Metric
tiav3_s14160,C2 C3,2,62pF,C_0402_1005Metric
tiav3_s14160,C5 C6 C7 C9,4,1u,C_0402_1005Metric
tiav3_s14160,C8,1,22u,C_0603_1608Metric
tiav3_s14160,D2,1,S14160-30,S14160-30
tiav3_s14160,J1,1,SSQ-103-01-G-D,PinHeader_2x03_P2.54mm_Vertical
tiav3_s14160,J2,1,Conn_Coaxial,SMB_Jack_Vertical
tiav3_s14160,L1,1,33nH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder
tiav3_s14160,L2,1,330nH,L_0603_1608Metric
tiav3_s14160,R1,1,50,R_0402_1005Metric
tiav3_s14160,R2,1,1.5k,R_0402_1005Metric
tiav3_s14160,R3,1,68,R_0402_1005Metric
tiav3_s14160,R5,1,3.0,R_0402_1005Metric
tiav3_s14160,R7,1,5k,R_0402_1005Metric
tiav3_s14160,R11,1,10,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder
tiav3_s14160,R23,1,30,R_0402_1005Metric
tiav3_s14160,U1,1,OPA847IDBVT,OPA847IDBVT
