Manufacturer Part Number,Quantity,Customer Reference,Description,Manufacturer
CL10A225KO8NNNC,14,bias-control-lt8362:C2 C7 C9 C10 C14 C17 C18,"0603 16V X5R 10% [NOTE: VERIFIED ACTIVE: 261k in stock at DigiKey, $0.08 ea. Samsung 2.2uF 16V X5R 0603 ]",Samsung
CL31B225KCHSNNE,10,bias-control-lt8362:C5 C6 C8 C11 C13,1206 100V X7R 10% [NOTE: Standardized on Samsung CL series. Original Murata GRM31CR72A225KA73L is OBSOLET],Samsung
CL10A226MQ8NRNC,16,bias-control-lt8362:C1 C4; power-supply:C1 C3 C5 C6 C15; tiav3_s14160:C8,0603 6.3V X5R 20% [NOTE: Standardized on Samsung CL series (per user preference). Murata GRM188R60J226MEA],Samsung
CL10A105KA8NNNC,6,bias-control-lt8362:C3; power-supply:C2 C8,0603 25V X5R 10%,Samsung
CC0603JRNPO9BN250,2,bias-control-lt8362:C12,"0603 50V C0G/NP0 5% [NOTE: C12 (U2 LDO feedforward cap, sees ~49V steady state across R15). Yageo CC0603JRN]",Yageo
CL10B222KB8NNNC,2,bias-control-lt8362:C15,0603 50V X7R 10%,Samsung
CL10B103KB8NNNC,4,bias-control-lt8362:C16; power-supply:C17,0603 50V X7R 10% [NOTE: Old BOM PN 445-12286-1-ND was 0402; substitution applies to 0603.],Samsung
RMCF0603FT5K10,12,bias-control-lt8362:R1 R3 R7 R8 R9 R10,0603 1% 1/10W,Stackpole
RMCF0603FT39K0,6,bias-control-lt8362:R12 R15 R16,0603 1% 1/10W,Stackpole
RMCF0603FT1M00,4,bias-control-lt8362:R4 R5,0603 1% 1/10W,Stackpole
RMCF0603FT69K8,2,bias-control-lt8362:R2,0603 1% 1/10W,Stackpole
RMCF0603FT52K3,2,bias-control-lt8362:R6,"0603 1% 1/10W [NOTE: R6 — assumed LT8362 variant (52.3k). For LT8361 build, swap to RMCF0603FT39K0CT-]",Stackpole
RMCF0603FT36K5,2,bias-control-lt8362:R11,0603 1% 1/10W,Stackpole
RMCF0603FT4R99,2,bias-control-lt8362:R13,0603 1% 1/10W [NOTE: BOM Value 'R13 = 5' — assumed 5.0 ohm; picked 4.99Ω 1% (closest E96). If 5.1Ω is],Stackpole
SRP5020TA-3R3M,2,bias-control-lt8362:L1,SRP5020 (5.0x5.0x2.0mm) [NOTE: KiCad fp 'SRP05204R7K' is the SRP5020 land pattern (the '4R7K' in the fp name wa],Bourns
1N4148WS-7-F,2,bias-control-lt8362:D2,SOD-323,Diodes Inc.
"PMEG6030EP,115",2,bias-control-lt8362:D3,SOD-128 [NOTE: Often on backorder at DigiKey. Future Electronics typically has stock. If lead t],Nexperia
MIC5317-3.3YM5-TR,2,bias-control-lt8362:U1,SOT-23-5,Microchip
LT3014ES5#TRPBF,2,bias-control-lt8362:U2,SOT-23-5 [NOTE: TRUE DROP-IN: original Richtek RT9072BGB is OBSOLETE. After confirming schematic],Analog Devices
MCP6C02T-020E/CHYVAO,2,bias-control-lt8362:U3,SOT-23-6 [NOTE: TRUE DROP-IN: same die / gain 20 V/V / SOT-23-6 / pinout as the original MCP6C02],Microchip
LT8362EMSE#PBF,2,bias-control-lt8362:IC1,MSOP-16 EP [NOTE: Project README/git history shows LT8362 selected (LT8361 was the alternative). R],Analog Devices
