Comment,Designator,Footprint,Manufacturer Part Number,Quantity,Manufacturer
0603 16V X5R 10%,bias-control-lt8362:C2 C7 C9 C10 C14 C17 C18,0603,CL10A225KO8NNNC,14,Samsung
1206 100V X7R 10%,bias-control-lt8362:C5 C6 C8 C11 C13,1206,CL31B225KCHSNNE,10,Samsung
0603 6.3V X5R 20%,bias-control-lt8362:C1 C4; power-supply:C1 C3 C5 C6 C15; tiav3_s14160:C8,0603,CL10A226MQ8NRNC,16,Samsung
0603 25V X5R 10%,bias-control-lt8362:C3; power-supply:C2 C8,0603,CL10A105KA8NNNC,6,Samsung
0603 50V C0G/NP0 5%,bias-control-lt8362:C12,0603,CC0603JRNPO9BN250,2,Yageo
0603 50V X7R 10%,bias-control-lt8362:C15,0603,CL10B222KB8NNNC,2,Samsung
0603 50V X7R 10%,bias-control-lt8362:C16; power-supply:C17,0603,CL10B103KB8NNNC,4,Samsung
0603 1% 1/10W,bias-control-lt8362:R1 R3 R7 R8 R9 R10,0603,RMCF0603FT5K10,12,Stackpole
0603 1% 1/10W,bias-control-lt8362:R12 R15 R16,0603,RMCF0603FT39K0,6,Stackpole
0603 1% 1/10W,bias-control-lt8362:R4 R5,0603,RMCF0603FT1M00,4,Stackpole
0603 1% 1/10W,bias-control-lt8362:R2,0603,RMCF0603FT69K8,2,Stackpole
0603 1% 1/10W,bias-control-lt8362:R6,0603,RMCF0603FT52K3,2,Stackpole
0603 1% 1/10W,bias-control-lt8362:R11,0603,RMCF0603FT36K5,2,Stackpole
0603 1% 1/10W,bias-control-lt8362:R13,0603,RMCF0603FT4R99,2,Stackpole
SRP5020 (5.0x5.0x2.0mm),bias-control-lt8362:L1,SRP5020,SRP5020TA-3R3M,2,Bourns
SOD-323,bias-control-lt8362:D2,SOD-323,1N4148WS-7-F,2,Diodes Inc.
SOD-128,bias-control-lt8362:D3,SOD-128,"PMEG6030EP,115",2,Nexperia
SOT-23-5,bias-control-lt8362:U1,SOT-23-5,MIC5317-3.3YM5-TR,2,Microchip
SOT-23-5,bias-control-lt8362:U2,SOT-23-5,LT3014ES5#TRPBF,2,Analog Devices
SOT-23-6,bias-control-lt8362:U3,SOT-23-6,MCP6C02T-020E/CHYVAO,2,Microchip
MSOP-16 EP,bias-control-lt8362:IC1,MSOP-16,LT8362EMSE#PBF,2,Analog Devices
"TQFP-32 7x7, AEC-Q100 automotive",bias-control-lt8362:IC2,TQFP-32,ATSAMD21E18A-AFT,2,Microchip
TSSOP-8,bias-control-lt8362:IC4,TSSOP-8,MCP47FEB22A2-E/ST,2,Microchip
"1x4 SMD vertical, 2.54mm (P-TR loose cut",bias-control-lt8362:J2,1x4,TSM-104-01-L-SV-P-TR,2,Samtec
"2x3 THM vertical, 2.54mm",bias-control-lt8362:J3,2x3,TSW-103-07-F-D,2,Samtec
SMT vertical mid-mount USB-C,bias-control-lt8362:J4,SMT,UJ20-C-V-C-3-SMT-TR,2,Same Sky (CUI Devices)
0603 1% 1/10W,power-supply:R8,0603,RMCF0603FT64K9,2,Stackpole
0603 1% 1/10W,power-supply:R9,0603,RMCF0603FT24K9,2,Stackpole
SOT-23-6,power-supply:U1,SOT-23-6,LM2776DBVR,2,Texas Instruments
SOT-23-5,power-supply:U3,SOT-23-5,TPS72301DBVR,2,Texas Instruments
SOT-23-5,power-supply:U5,SOT-23-5,TPS79333DBVR,2,Texas Instruments
"2x3 socket, 2.54mm, gold, 3mm depth",power-supply:J3,2x3,SSQ-103-03-G-D,2,Samtec
0402 10V X5R 10%,tiav3_s14160:C5 C6 C7 C9,0402,CL05A105KP5NNNC,8,Samsung
1206 50V X7R 10%,tiav3_s14160:C1 C4,1206,CL31B225KBHNNNE,4,Samsung
0402 50V C0G 2%,tiav3_s14160:C2 C3,0402,GCM1555C1H620GA16J,4,Murata
0402 1% 1/16W,tiav3_s14160:R1,0402,RMCF0402FT49R9,2,Stackpole
0402 1% 1/16W,tiav3_s14160:R2,0402,RMCF0402FT1K50,2,Stackpole
0402 1% 1/16W,tiav3_s14160:R3,0402,RMCF0402FT68R0,2,Stackpole
0402 1% 1/16W,tiav3_s14160:R5,0402,RMCF0402FT3R01,2,Stackpole
0402 1% 1/16W,tiav3_s14160:R7,0402,RMCF0402FT4K99,2,Stackpole
0402 1% 1/16W,tiav3_s14160:R11,0402,RMCF0402FT10R0,2,Stackpole
0402 1% 1/16W,tiav3_s14160:R23,0402,RMCF0402FT30R1,2,Stackpole
0603 wirewound,tiav3_s14160:L1,0603,LQW18AN33NJ00D,2,Murata
0603 wirewound,tiav3_s14160:L2,0603,LQW18CAR33J00D,2,Murata
SOT-23-6,tiav3_s14160:U1,SOT-23-6,OPA847IDBVT,2,Texas Instruments
"2x3 socket, 2.54mm, gold, 1mm depth",tiav3_s14160:J1,2x3,SSQ-103-01-G-D,2,Samtec
SMB jack vertical THM,tiav3_s14160:J2,SMB,131-3701-261,2,Cinch / Johnson
